metal_id,usgs_name,display_name,is_green_metal,has_value_chain,has_market_data
aluminum,Aluminum,Aluminum,True,True,True
antimony,Antimony,Antimony,False,False,False
arsenic,Arsenic,Arsenic,False,False,False
barite,Barite,Barite,False,False,False
beryllium,Beryllium,Beryllium,False,False,False
bismuth,Bismuth,Bismuth,False,False,False
boron,Boron,Boron,False,False,False
cerium,Cerium,Cerium,False,False,False
cesium,Cesium,Cesium,False,False,False
chromium,Chromium,Chromium,False,False,False
cobalt,Cobalt,Cobalt,True,True,True
copper,Copper,Copper,True,True,True
dysprosium,Dysprosium,Dysprosium,False,False,False
erbium,Erbium,Erbium,False,False,False
europium,Europium,Europium,False,False,False
fluorspar,Fluorspar,Fluorspar,False,False,False
gadolinium,Gadolinium,Gadolinium,False,False,False
gallium,Gallium,Gallium,False,False,False
germanium,Germanium,Germanium,False,False,False
graphite,Graphite,Graphite (Natural),True,True,True
hafnium,Hafnium,Hafnium,False,False,False
holmium,Holmium,Holmium,False,False,False
indium,Indium,Indium,False,False,False
iridium,Iridium,Iridium,False,False,False
lanthanum,Lanthanum,Lanthanum,False,False,False
lead,Lead,Lead,False,False,False
lithium,Lithium,Lithium,True,True,True
lutetium,Lutetium,Lutetium,False,False,False
magnesium,Magnesium,Magnesium,False,False,False
manganese,Manganese,Manganese,True,True,True
metallurgical_coal,Metallurgical coal,Metallurgical coal,False,False,False
neodymium,Neodymium,Neodymium (Rare Earth),True,True,True
nickel,Nickel,Nickel,True,True,True
niobium,Niobium,Niobium,False,False,False
palladium,Palladium,Palladium,False,False,False
phosphate,Phosphate,Phosphate,False,False,False
platinum,Platinum,Platinum,False,False,False
potash,Potash,Potash,False,False,False
praseodymium,Praseodymium,Praseodymium,False,False,False
rhenium,Rhenium,Rhenium,False,False,False
rhodium,Rhodium,Rhodium,False,False,False
rubidium,Rubidium,Rubidium,False,False,False
ruthenium,Ruthenium,Ruthenium,False,False,False
samarium,Samarium,Samarium,False,False,False
scandium,Scandium,Scandium,False,False,False
silicon,Silicon,Silicon (Metallurgical/Solar),True,True,True
silver,Silver,Silver,False,False,False
tantalum,Tantalum,Tantalum,False,False,False
tellurium,Tellurium,Tellurium,False,False,False
terbium,Terbium,Terbium,False,False,False
thulium,Thulium,Thulium,False,False,False
tin,Tin,Tin,False,False,False
titanium,Titanium,Titanium,False,False,False
tungsten,Tungsten,Tungsten,False,False,False
uranium,Uranium,Uranium,False,False,False
vanadium,Vanadium,Vanadium,False,False,False
ytterbium,Ytterbium,Ytterbium,False,False,False
yttrium,Yttrium,Yttrium,False,False,False
zinc,Zinc,Zinc,True,True,True
zirconium,Zirconium,Zirconium,False,False,False
